seq,taxID_kaiju,taxID_kraken2,length,true,taxID_SAMOVAR,taxID_SAMOVAR_confidence,sample
Hsap.fna|taxid:9606|-NC_000001.11_100_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_100_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_100_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_100_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_100_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_100_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_100_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1010_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1010_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1010_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1010_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1010_4,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1010_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1010_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1011_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1011_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1011_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1011_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1011_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1011_5,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1011_6,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1012_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1012_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1012_2,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1012_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1012_4,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1012_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1012_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1013_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1013_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1013_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1013_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1013_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1013_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1013_6,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1014_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1014_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1014_2,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1014_3,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1014_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1014_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1014_6,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1015_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1015_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1015_2,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1015_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1015_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1015_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1015_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1016_0,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1016_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1016_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1016_3,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1016_4,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1016_5,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1016_6,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1017_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
